term,date,time,presenter,paper,abstract,links
Fall 2025,13 Oct 2025,13:30–14:45,Valentina Rutigliano,TBD,,
Fall 2025,24 Nov 2025,13:30–14:30,Andrea Sy,TBD,,
Fall 2025,01 Dec 2025,13:30–14:45,Dominic Cucic,TBD,,
Fall 2025,01 Dec 2025,15:15–16:00,Jesús Villota,TBD,,
Spring 2025,12 May 2025,13:30–14:15,Jan Schäfer,TBD,,
Spring 2025,19 May 2025,13:30–14:15,Jesús Villota & Paolo de Rosa,TBD,,
Spring 2025,18 Jun 2025,13:30–14:15,Enrico Stivella,TBD,,
Winter 2025,17 Feb 2025,11:15–12:00,Jan Schaefer,TBD,,
Winter 2025,03 Mar 2025,16:00–16:45,Jesús Villota,TBD,,
Winter 2025,10 Mar 2025,11:15–12:00,Paolo de Rosa,TBD,,
Fall 2024,14 Oct 2024,11:30–12:15,Paolo de Rosa,TBD,,
Fall 2024,23 Oct 2024,11:30–12:15,Jan Schaefer,TBD,,
Fall 2024,28 Oct 2024,11:30–12:15,Jesús Villota,TBD,,
Fall 2024,27 Oct 2024,11:30–12:15,Nicolas Serrano,TBD,,
Spring 2024,29 Apr 2024,13:30–14:15,Jan Schaefer,The Competition & Stability Trade-Off: A Quantitative Assessment,,
Spring 2024,13 May 2024,13:30–15:00,Vedant Agarwal,TBD,,
Spring 2024,13 May 2024,13:30–15:00,Siema Hashemi,TBD,,
Spring 2024,03 Jun 2024,13:30–14:15,Paolo de Rosa,TBD,,
Winter 2024,12 Feb 2024,13:30–14:15,Jan Schaefer,TBD,,
Winter 2024,19 Feb 2024,13:30–14:15,Paolo de Rosa,TBD,,
Winter 2024,26 Feb 2024,13:30–14:15,Martín Farias,TBD,,
Fall 2023,15 Nov 2023,13:30–15:00,Paolo de Rosa,"""Liquidity Regulation and Banks: Theory and Evidence"" by Suresh Sundaresan and Kairong Xiao",,
Fall 2023,15 Nov 2023,13:30–15:00,Jan Schaefer,"""Bank Capital Requirements: Does Interest Rate Risk Matter?"" (joint with Vedant Agarwal)",,
Fall 2023,27 Nov 2023,15:00–15:45,Vedant Agarwal,TBD,,
Summer 2023,22 May 2023,13:30–14:15,Utso Pal Mustafi,Shocks to public debt maturity and effect on the macroeconomy,"Over the last few decades, there has been substantial variation in the average maturity at which US government debt is issued. More recently, in the face of rising debt-to-GDP, it is important to analyse whether the maturity at which a government funds its debt has implications on the macroeconomy. In this project, I use a novel design combining high-frequency data and institutional features of Treasury announcements in the primary market, to identify shocks to the maturity structure of US public debt. An exogenous increase in the maturity of new public debt issuance increases the term spread significantly, increases output, reduces unemployment steadily until a 1 year period, and leads to a persistent increase in inflation. I propose to calibrate a model embedding the preferred habitat framework in a New Keynesian model to analyse the transmission from bond supply to asset prices and to the macroeconomy.",
Summer 2023,29 May 2023,13:30–15:00,Martín Farias,The impact of financial frictions on the allocation of cash flow,,
Summer 2023,29 May 2023,13:30–15:00,Jan Schaefer,Negative Interest Rates & Bank Fragility,,
Summer 2023,05 Jun 2023,13:30–15:00,Siema Hashemi,Bail-ins and Bailouts under System Risk,,
Summer 2023,05 Jun 2023,13:30–15:00,Vedant Agarwal,Deposit Insurance in an Infinite Horizon Model featuring Bank Runs,,
Winter 2023,13 Feb 2023,13:15–15:00,Martín Farias,Cash flow shocks and their transmission to cash savings,,
Winter 2023,13 Feb 2023,13:15–15:00,Jan Schaefer,Negative Interest Rates & Bank Fragility,,
Winter 2023,13 Mar 2023,13:15–15:00,Siema Hashemi,TBD,,
Winter 2023,13 Mar 2023,13:15–15:00,Vedant Agarwal,TBD,,
